,Team,GP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League,W/L%
61,Golden State Warriors,82,36.7,74.8,0.491,11.1,28.7,0.385,25.7,46.1,0.557,13.6,17.0,0.801,8.1,30.4,38.5,24.5,6.3,5.3,11.9,17.8,98.1,2018,NBA,0.542
62,New Orleans Pelicans,82,36.4,76.8,0.473,8.6,24.9,0.344,27.8,52.0,0.536,14.8,19.5,0.761,9.2,30.2,39.4,22.5,6.2,4.5,12.3,17.6,96.2,2018,NBA,0.431
63,Philadelphia 76ers,82,34.6,73.5,0.471,9.0,25.2,0.359,25.6,48.3,0.529,17.7,22.9,0.771,9.1,30.8,39.8,22.4,6.2,4.4,12.4,17.8,96.0,2018,NBA,0.681
64,Los Angeles Clippers,82,34.4,72.9,0.471,8.3,21.5,0.388,26.1,51.4,0.507,18.8,23.8,0.792,8.1,29.8,37.9,20.0,5.7,3.9,12.1,19.4,95.9,2018,NBA,0.653
65,Portland Trail Blazers,82,35.2,75.5,0.467,9.2,25.6,0.359,26.1,49.8,0.523,15.8,19.4,0.814,9.8,30.2,40.0,19.2,5.6,4.2,11.5,17.0,95.6,2018,NBA,0.583
66,Oklahoma City Thunder,82,35.5,78.3,0.454,9.5,27.2,0.348,26.1,51.1,0.51,14.8,20.8,0.713,10.5,29.6,40.1,19.5,7.8,4.3,11.7,18.7,95.4,2018,NBA,0.306
67,Toronto Raptors,82,35.2,74.2,0.474,10.3,28.2,0.366,24.8,46.1,0.539,14.8,18.3,0.804,8.0,29.7,37.7,21.2,6.9,4.4,11.7,17.5,95.3,2018,NBA,0.375
68,Sacramento Kings,82,36.0,77.6,0.464,9.4,24.9,0.378,26.6,52.7,0.504,13.8,18.9,0.726,9.2,28.7,37.8,21.2,6.9,3.7,11.2,17.8,95.2,2018,NBA,0.431
69,Washington Wizards,82,35.1,75.1,0.468,9.4,27.8,0.341,25.7,47.3,0.543,15.3,19.9,0.768,8.1,27.3,35.3,21.9,6.9,3.8,11.8,17.2,95.0,2018,NBA,0.472
70,Houston Rockets,82,32.7,72.8,0.449,13.4,37.8,0.356,19.3,35.0,0.551,16.1,20.3,0.791,8.5,26.6,35.1,17.7,7.1,4.1,11.1,18.3,94.9,2018,NBA,0.236
71,Atlanta Hawks,82,34.5,76.5,0.451,10.8,30.8,0.352,23.7,45.7,0.518,14.7,19.5,0.752,9.7,28.8,38.4,21.5,6.8,4.2,14.2,19.7,94.4,2018,NBA,0.569
72,Minnesota Timberwolves,82,34.7,76.1,0.456,8.4,23.9,0.351,26.2,52.1,0.504,15.9,20.2,0.787,9.4,27.9,37.3,20.5,6.9,4.2,10.9,16.9,93.8,2018,NBA,0.319
73,Boston Celtics,82,35.1,75.4,0.465,10.5,28.8,0.365,24.6,46.7,0.527,13.0,16.2,0.802,8.2,28.9,37.1,21.9,7.2,4.4,10.7,17.0,93.7,2018,NBA,0.5
74,Brooklyn Nets,82,33.6,74.8,0.449,10.7,30.2,0.353,22.9,44.7,0.513,15.8,21.2,0.745,9.2,29.7,38.8,19.8,5.5,3.4,12.6,17.9,93.5,2018,NBA,0.667
75,Los Angeles Lakers,82,35.5,75.4,0.47,8.6,25.8,0.333,26.8,49.7,0.541,13.6,19.4,0.699,8.5,30.3,38.8,21.3,6.2,4.5,13.1,17.2,93.2,2018,NBA,0.583
76,San Antonio Spurs,82,35.2,73.7,0.478,8.2,21.1,0.392,27.0,52.6,0.513,14.3,17.5,0.819,7.7,29.6,37.3,20.4,5.1,3.9,10.1,15.1,93.1,2018,NBA,0.458
77,Utah Jazz,82,33.7,72.0,0.468,10.1,28.3,0.356,23.6,43.7,0.541,15.7,21.2,0.736,8.3,30.3,38.7,21.7,6.8,4.9,12.6,17.6,93.1,2018,NBA,0.722
78,Denver Nuggets,82,34.9,75.0,0.466,9.2,26.2,0.351,25.8,48.9,0.527,13.2,17.4,0.755,9.9,28.8,38.7,22.8,6.4,3.7,11.2,16.7,92.2,2018,NBA,0.653
79,Charlotte Hornets,82,33.5,74.8,0.448,9.9,28.2,0.351,23.6,46.5,0.507,15.3,19.3,0.797,8.2,28.2,36.5,19.3,6.0,4.1,10.2,15.8,92.2,2018,NBA,0.458
80,Dallas Mavericks,82,32.3,72.4,0.447,10.4,30.5,0.34,21.9,41.8,0.524,15.7,21.1,0.742,8.4,29.3,37.8,19.5,5.4,3.6,11.8,16.8,90.8,2018,NBA,0.583
